YearStart,LocationDesc,Sex,Data_Value
2011,Alabama,,34.8
2011,Alabama,,35.8
2011,Alabama,,32.3
2011,Alabama,,34.1
2011,Alabama,,28.8
2011,Alabama,,16.3
2011,Alabama,,27.8
2011,Alabama,,35.2
2011,Alabama,,35.5
2011,Alabama,,38.0
2011,Alabama,,36.4
2011,Alabama,,27.1
2011,Alabama,,32.9
2011,Alabama,,
2011,Alabama,,26.4
2011,Alabama,,23.8
2011,Alabama,Female,31.8
2011,Alabama,,
2011,Alabama,,32.8
2011,Alabama,,28.6
2011,Alabama,,38.5
2011,Alabama,,33.6
2011,Alabama,Male,32.3
2011,Alabama,,40.1
2011,Alabama,,29.8
2011,Alabama,,
2011,Alabama,,33.8
2011,Alabama,,32.0
2011,Alaska,,30.2
2011,Alaska,,32.2
2011,Alaska,,24.5
2011,Alaska,,27.8
2011,Alaska,,26.9
2011,Alaska,,19.8
2011,Alaska,,23.3
2011,Alaska,,23.5
2011,Alaska,,29.5
2011,Alaska,,29.2
2011,Alaska,,33.4
2011,Alaska,,29.3
2011,Alaska,,30.9
2011,Alaska,,
2011,Alaska,,22.1
2011,Alaska,,22.7
2011,Alaska,Female,26.7
2011,Alaska,,
2011,Alaska,,33.1
2011,Alaska,,31.5
2011,Alaska,,33.6
2011,Alaska,,28.8
2011,Alaska,Male,28.0
2011,Alaska,,
2011,Alaska,,25.9
2011,Alaska,,35.5
2011,Alaska,,25.8
2011,Alaska,,27.4
2011,Arizona,,32.3
2011,Arizona,,26.5
2011,Arizona,,20.7
2011,Arizona,,25.1
2011,Arizona,,19.7
2011,Arizona,,18.7
2011,Arizona,,20.8
2011,Arizona,,23.6
2011,Arizona,,25.4
2011,Arizona,,29.6
2011,Arizona,,29.9
2011,Arizona,,22.6
2011,Arizona,,34.2
2011,Arizona,,13.0
2011,Arizona,,17.4
2011,Arizona,,19.6
2011,Arizona,Female,25.8
2011,Arizona,,
2011,Arizona,,25.2
2011,Arizona,,33.8
2011,Arizona,,34.1
2011,Arizona,,36.2
2011,Arizona,Male,24.4
2011,Arizona,,26.8
2011,Arizona,,21.2
2011,Arizona,,
2011,Arizona,,25.9
2011,Arizona,,25.1
2011,Arkansas,,30.4
2011,Arkansas,,37.2
2011,Arkansas,,31.7
2011,Arkansas,,30.6
2011,Arkansas,,27.8
2011,Arkansas,,23.0
2011,Arkansas,,26.4
2011,Arkansas,,29.3
2011,Arkansas,,32.9
2011,Arkansas,,36.4
2011,Arkansas,,36.9
2011,Arkansas,,26.1
2011,Arkansas,,19.3
2011,Arkansas,,
2011,Arkansas,,26.4
2011,Arkansas,,24.9
2011,Arkansas,Female,31.2
2011,Arkansas,,
2011,Arkansas,,33.0
2011,Arkansas,,18.4
2011,Arkansas,,33.8
2011,Arkansas,,31.1
2011,Arkansas,Male,30.7
2011,Arkansas,,38.1
2011,Arkansas,,31.0
2011,Arkansas,,
2011,Arkansas,,31.0
2011,Arkansas,,30.9
2011,California,,30.1
2011,California,,27.2
2011,California,,22.1
2011,California,,24.3
2011,California,,17.7
2011,California,,14.5
2011,California,,26.9
2011,California,,23.7
2011,California,,25.9
2011,California,,27.6
2011,California,,27.6
2011,California,,21.2
2011,California,,37.3
2011,California,,8.1
2011,California,,15.3
2011,California,,17.5
2011,California,Female,24.5
2011,California,,23.2
2011,California,,26.4
2011,California,,30.3
2011,California,,29.9
2011,California,,32.9
2011,California,Male,23.1
2011,California,,33.1
2011,California,,22.0
2011,California,,
2011,California,,24.0
2011,California,,23.8
2011,Colorado,,24.2
2011,Colorado,,23.7
2011,Colorado,,21.3
2011,Colorado,,19.5
2011,Colorado,,18.3
2011,Colorado,,10.2
2011,Colorado,,23.0
2011,Colorado,,19.3
2011,Colorado,,22.7
2011,Colorado,,24.2
2011,Colorado,,24.2
2011,Colorado,,20.2
2011,Colorado,,30.7
2011,Colorado,,7.7
2011,Colorado,,15.6
2011,Colorado,,17.5
2011,Colorado,Female,20.3
2011,Colorado,,
2011,Colorado,,23.5
2011,Colorado,,26.5
2011,Colorado,,25.9
2011,Colorado,,25.7
2011,Colorado,Male,21.1
2011,Colorado,,34.2
2011,Colorado,,18.9
2011,Colorado,,23.5
2011,Colorado,,22.3
2011,Colorado,,20.7
2011,Connecticut,,28.7
2011,Connecticut,,24.7
2011,Connecticut,,27.5
2011,Connecticut,,23.2
2011,Connecticut,,20.7
2011,Connecticut,,16.1
2011,Connecticut,,30.1
2011,Connecticut,,23.2
2011,Connecticut,,25.4
2011,Connecticut,,27.0
2011,Connecticut,,28.6
2011,Connecticut,,23.7
2011,Connecticut,,
2011,Connecticut,,6.3
2011,Connecticut,,16.7
2011,Connecticut,,24.8
2011,Connecticut,Female,23.6
2011,Connecticut,,
2011,Connecticut,,29.0
2011,Connecticut,,32.6
2011,Connecticut,,31.7
2011,Connecticut,,31.2
2011,Connecticut,Male,25.4
2011,Connecticut,,32.8
2011,Connecticut,,23.0
2011,Connecticut,,36.0
2011,Connecticut,,26.4
2011,Connecticut,,24.5
2011,Delaware,,35.6
2011,Delaware,,31.0
2011,Delaware,,32.3
2011,Delaware,,26.4
2011,Delaware,,27.0
2011,Delaware,,14.2
2011,Delaware,,36.5
2011,Delaware,,25.3
2011,Delaware,,33.2
2011,Delaware,,31.4
2011,Delaware,,36.1
2011,Delaware,,28.9
2011,Delaware,,
2011,Delaware,,2.1
2011,Delaware,,24.1
2011,Delaware,,22.0
2011,Delaware,Female,28.6
2011,Delaware,,
2011,Delaware,,27.9
2011,Delaware,,22.4
2011,Delaware,,33.5
2011,Delaware,,35.2
2011,Delaware,Male,29.0
2011,Delaware,,38.2
2011,Delaware,,27.2
2011,Delaware,,
2011,Delaware,,30.9
2011,Delaware,,28.8
2011,District of Columbia,,35.3
2011,District of Columbia,,30.0
2011,District of Columbia,,27.6
2011,District of Columbia,,20.3
2011,District of Columbia,,12.7
2011,District of Columbia,,8.5
2011,District of Columbia,,32.2
2011,District of Columbia,,20.8
2011,District of Columbia,,22.0
2011,District of Columbia,,34.8
2011,District of Columbia,,30.6
2011,District of Columbia,,26.3
2011,District of Columbia,,
2011,District of Columbia,,0.9
2011,District of Columbia,,11.9
2011,District of Columbia,,22.1
2011,District of Columbia,Female,28.4
2011,District of Columbia,,
2011,District of Columbia,,33.0
2011,District of Columbia,,13.3
2011,District of Columbia,,41.6
2011,District of Columbia,,39.7
2011,District of Columbia,Male,18.6
2011,District of Columbia,,36.7
2011,District of Columbia,,10.7
2011,District of Columbia,,22.9
2011,District of Columbia,,31.0
2011,District of Columbia,,23.7
2011,Florida,,30.2
2011,Florida,,29.7
2011,Florida,,27.2
2011,Florida,,26.5
2011,Florida,,22.4
2011,Florida,,10.7
2011,Florida,,26.7
2011,Florida,,25.9
2011,Florida,,29.9
2011,Florida,,34.3
2011,Florida,,31.2
2011,Florida,,23.4
2011,Florida,,22.3
2011,Florida,,6.2
2011,Florida,,21.1
